,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Grand Canyon,0.23893805309734514,0.35802469135802467,0.5841584158415841,0.0,0.6,0.37254901960784315,0.27058823529411763,0.573170731707317,0.5531914893617021,0.21052631578947367,0.3076923076923077,0.22916666666666666
Green Bay,0.4507042253521127,0.40350877192982454,0.6176470588235294,0.4,0.38461538461538464,0.4090909090909091,0.3548387096774194,0.5384615384615384,0.6891891891891891,0.2,0.5714285714285714,0.5
Hampton,0.27848101265822783,0.4025974025974026,0.5319148936170213,0.5,0.5,0.23404255319148937,0.3246753246753247,0.45614035087719296,0.6078431372549019,0.25,0.5,0.38461538461538464
Hartford,0.30434782608695654,0.2,0.7608695652173914,0.6,0.0,0.5,0.3466666666666667,0.44680851063829785,0.7391304347826086,0.3333333333333333,0.5,0.3225806451612903
Harvard,0.3333333333333333,0.39090909090909093,0.651685393258427,0.26666666666666666,0.25,0.30434782608695654,0.3592233009708738,0.41904761904761906,0.6052631578947368,0.07692307692307693,0.2,0.27906976744186046
Hawaii,0.26136363636363635,0.44285714285714284,0.696969696969697,0.16666666666666666,0.25,0.425531914893617,0.37777777777777777,0.4605263157894737,0.6716417910447762,0.16666666666666666,0.25,0.36363636363636365
High Point,0.13636363636363635,0.28,0.5106382978723404,0.75,0.0,0.45,0.4375,0.21428571428571427,0.6875,0.3333333333333333,0.0,0.4
Hofstra,0.39,0.4,0.6,0.16666666666666666,0.4444444444444444,0.43137254901960786,0.3944954128440367,0.41818181818181815,0.6956521739130435,0.4,0.4444444444444444,0.39473684210526316
Holy Cross,0.5,0.7058823529411765,0.6153846153846154,0.0,0.3333333333333333,0.375,0.30612244897959184,0.4,0.6666666666666666,0.5,0.0,0.4166666666666667
Houston,0.35670103092783506,0.3695652173913043,0.6415094339622641,0.425531914893617,0.48,0.4517241379310345,0.3141592920353982,0.39490445859872614,0.5546448087431693,0.34375,0.38636363636363635,0.2905982905982906
Houston Baptist,0.20588235294117646,0.24528301886792453,0.5714285714285714,0.0,0.25,0.36363636363636365,0.5454545454545454,0.6222222222222222,0.7647058823529411,0.5,0.36363636363636365,0.4444444444444444
Howard,0.36046511627906974,0.26,0.6111111111111112,0.46153846153846156,0.2222222222222222,0.3333333333333333,0.4155844155844156,0.5344827586206896,0.75,0.5,0.5,0.35714285714285715
IPFW,0.36231884057971014,0.5135135135135135,0.5909090909090909,0.5555555555555556,0.7777777777777778,0.16666666666666666,0.3469387755102041,0.5454545454545454,0.6730769230769231,0.3333333333333333,0.5,0.4
IUPUI,0.2647058823529412,0.4090909090909091,0.47692307692307695,0.125,0.5833333333333334,0.3333333333333333,0.352112676056338,0.627906976744186,0.796875,0.2222222222222222,0.4,0.45454545454545453
Idaho,0.2765957446808511,0.4375,0.64,0.0,0.0,0.4375,0.4722222222222222,0.5217391304347826,0.875,0.0,0.25,0.3
Idaho State,0.34782608695652173,0.45,0.5833333333333334,0.0,0.0,0.5,0.2962962962962963,0.7272727272727273,0.7222222222222222,0.5,0.0,0.6666666666666666
Illinois,0.31211498973305957,0.41044776119402987,0.6273291925465838,0.375,0.4177215189873418,0.36554621848739494,0.3301204819277108,0.4542857142857143,0.6695095948827292,0.41509433962264153,0.38961038961038963,0.3950617283950617
Illinois State,0.3444730077120823,0.36764705882352944,0.6755725190839694,0.36363636363636365,0.34375,0.32407407407407407,0.3333333333333333,0.37104072398190047,0.6455696202531646,0.2,0.30434782608695654,0.37272727272727274
Illinois-Chicago,0.2191780821917808,0.34146341463414637,0.5365853658536586,0.8,0.3,0.34615384615384615,0.22077922077922077,0.4090909090909091,0.6938775510204082,0.4,0.2,0.5192307692307693
Incarnate Word,0.4074074074074074,0.4857142857142857,0.42857142857142855,1.0,0.5,0.4444444444444444,0.28846153846153844,0.7,0.675,0.3333333333333333,0.5,0.0
Indiana,0.3264887063655031,0.44837758112094395,0.6179775280898876,0.1891891891891892,0.42592592592592593,0.30538922155688625,0.37449392712550605,0.3955431754874652,0.6086065573770492,0.34782608695652173,0.4383561643835616,0.3508771929824561
Indiana State,0.34411764705882353,0.33783783783783783,0.6373056994818653,0.42424242424242425,0.41935483870967744,0.2857142857142857,0.34074074074074073,0.4298642533936652,0.6777251184834123,0.47058823529411764,0.36,0.27102803738317754
Indianapolis,0.38095238095238093,0.3333333333333333,0.625,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
Iona,0.2975206611570248,0.32857142857142857,0.6022727272727273,0.5,0.3333333333333333,0.42857142857142855,0.35185185185185186,0.3181818181818182,0.6171875,0.2222222222222222,0.1111111111111111,0.3783783783783784
Iowa,0.37109375,0.4582043343653251,0.6561338289962825,0.48148148148148145,0.27586206896551724,0.37919463087248323,0.38697318007662834,0.4098360655737705,0.6188034188034188,0.3698630136986301,0.375,0.38202247191011235
Iowa State,0.3671497584541063,0.3834355828220859,0.6052631578947368,0.34146341463414637,0.37142857142857144,0.38372093023255816,0.3435114503816794,0.4327485380116959,0.664367816091954,0.421875,0.34782608695652173,0.3142857142857143
Jackson State,0.23809523809523808,0.3,0.375,0.0,0.5,0.2727272727272727,0.39285714285714285,0.5714285714285714,0.7333333333333333,0.0,0.0,0.0
Jacksonville,0.37142857142857144,0.2835820895522388,0.648936170212766,0.3333333333333333,0.25,0.40425531914893614,0.37142857142857144,0.5853658536585366,0.6407766990291263,0.25,0.14285714285714285,0.1935483870967742
Jacksonville State,0.3333333333333333,0.5,0.6037735849056604,0.5,0.0,0.32142857142857145,0.3958333333333333,0.43478260869565216,0.6896551724137931,0.3333333333333333,0.6,0.42857142857142855
James Madison,0.3829787234042553,0.17142857142857143,0.5571428571428572,0.6,0.2857142857142857,0.2,0.3333333333333333,0.358974358974359,0.47619047619047616,0.4,0.375,0.4666666666666667
Kansas,0.3896276595744681,0.45662100456621,0.6578947368421053,0.39215686274509803,0.4830508474576271,0.38341968911917096,0.3341902313624679,0.38095238095238093,0.6376360808709176,0.3333333333333333,0.3225806451612903,0.35714285714285715
